Region,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
United States,27.3517154,29.3350899,33.9944396,36.6191972,42.3721281,47.0430682,49.0627676,49.3504653,49.7429548,50.2117171,50.7346709,51.2946867,51.8784943,52.4758588,53.0789447
Other Rich Countries,16.2446326,16.8035502,20.4803012,24.1542622,28.3271632,31.0738819,34.1680392,35.8171835,37.4420638,39.0223456,40.5434221,41.9956921,43.3737396,44.6754925,45.9014266
China,1.60527062,2.0538594,2.58316506,3.30644935,4.316882,5.89036011,8.74985942,11.369707,14.4718676,18.0103507,21.8813342,25.9383876,30.01938,33.9744043,37.6857539
Emerging Economies,4.12576661,4.33818066,9.67132348,9.31643081,9.01953979,10.1345874,14.1075647,16.6340893,19.443921,22.4638289,25.6030123,28.7653648,31.8617452,34.8191446,37.5853289
Indian Subcontinent,1.2431753,1.12572539,1.25963751,1.48574147,1.82826501,2.24155584,3.30462536,4.33154566,5.61233417,7.2050647,9.16588916,11.5356207,14.324012,17.4974283,20.9762448
Africa South of Sahara,3.38636156,3.04701466,1.94010736,1.62121199,1.65538833,2.07116199,2.99308047,3.42374572,4.00437227,4.7637245,5.73961428,6.97659683,8.52136905,10.4148672,12.6813937
Rest of World,2.33755967,2.554112,3.36202745,3.4185574,3.8400091,4.12697008,5.59188218,6.97724523,8.6908025,10.7756512,13.2526842,16.1084734,19.2890439,22.7034538,26.2369308
