SDG,Region,Abreviation,Functional form,Sc1a,Sc1b,Sc1c,Sc1d,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
5.00000,China,China,y=a-b*EXP(-x/c),1.10000,0.40000,6.00000,0.00000,0.81150,0.83768,0.86386,0.89004,0.92357,0.95710,0.99624,1.01337,,,,,,,
5.00000,Emerging Economies,EE,y=a-b*EXP(-x/c),1.10000,0.40000,8.80000,0.00000,0.81895,0.87957,0.90878,0.95588,0.96192,1.01795,1.04571,1.03961,,,,,,,
5.00000,Indian Subcontinent,India,y=a-b*EXP(-x/c),1.10000,0.40000,7.60000,0.00000,0.56432,0.60621,0.63630,0.73126,0.75643,0.84816,0.93500,0.99270,,,,,,,
5.00000,Africa South of Sahara,ASoS,y=a-b*EXP(-x/c),1.10000,0.40000,7.40000,0.00000,0.72970,0.74518,0.86855,0.82718,0.80239,0.83272,0.87060,0.89592,,,,,,,
5.00000,Rest of World,RoW-120,y=a-b*EXP(-x/c),1.10000,0.40000,7.20000,0.00000,0.81089,0.81946,0.84923,0.86069,0.88570,0.91071,0.89619,0.92656,,,,,,,
6.00000,United States,US,y=a-b*EXP(-x/c),100.00000,11.00000,13.00000,0.00000,98.65833,98.84817,99.19512,99.34227,99.57747,99.14818,99.16392,99.18994,,,,,,,
6.00000,Other Rich Countries,ORC,y=a-b*EXP(-x/c),100.00000,11.00000,13.00000,0.00000,96.84715,96.97983,97.72385,98.28421,99.48464,99.37808,99.47603,99.57958,,,,,,,
6.00000,China,China,y=a-b*EXP(-x/c),100.00000,11.00000,13.00000,0.00000,90.27779,90.60755,90.98229,91.47031,98.30689,97.91026,96.91868,95.92711,,,,,,,
6.00000,Emerging Economies,EE,y=a-b*EXP(-x/c),100.00000,11.00000,13.00000,0.00000,91.99130,92.12109,94.77243,94.62775,94.34282,94.97388,96.01216,96.99075,,,,,,,
6.00000,Indian Subcontinent,India,y=a-b*EXP(-x/c),100.00000,22.00000,7.20000,0.00000,81.48874,81.18430,81.53102,82.10199,82.72235,83.96955,85.96828,87.88048,,,,,,,
6.00000,Africa South of Sahara,ASoS,y=a-b*EXP(-x/c),100.00000,71.00000,8.00000,0.00000,53.50314,51.48840,44.28962,42.02404,42.41103,44.99365,49.80725,54.68359,,,,,,,
6.00000,Rest of World,RoW-120,y=a-b*EXP(-x/c),100.00000,71.00000,8.00000,0.00000,46.98977,48.40546,53.36150,53.68989,56.06643,57.25873,72.59363,81.58033,,,,,,,
7.00000,United States,US,y=a-b*EXP(-x/c),100.00000,25.00000,3.00000,0.00000,99.99726,99.99858,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,,,,,,,
7.00000,Other Rich Countries,ORC,y=a-b*EXP(-x/c),100.00000,25.00000,3.00000,0.00000,99.88875,99.90766,99.83746,99.89297,99.92962,99.95605,99.98545,99.99503,,,,,,,
7.00000,China,China,y=a-b*EXP(-x/c),100.00000,25.00000,3.00000,0.00000,85.35959,87.39295,89.39481,91.10233,93.80060,96.19202,98.60268,99.93366,,,,,,,
7.00000,Emerging Economies,EE,y=a-b*EXP(-x/c),100.00000,70.00000,3.90000,0.00000,75.69684,76.98511,91.25206,92.71233,95.00854,97.02713,98.75328,99.66602,,,,,,,
7.00000,Indian Subcontinent,India,y=a-b*EXP(-x/c),100.00000,83.00000,3.10000,0.00000,44.42039,42.27425,42.74937,47.75050,55.60658,62.03852,71.51287,76.67487,,,,,,,
7.00000,Africa South of Sahara,ASoS,y=a-b*EXP(-x/c),100.00000,89.00000,5.00000,0.00000,54.78793,51.61289,26.83531,23.42976,27.85252,32.17887,35.16420,39.28033,,,,,,,
7.00000,Rest of World,RoW-120,y=a-b*EXP(-x/c),100.00000,70.00000,4.90000,0.00000,56.55733,58.43544,67.84797,62.54143,69.55929,72.32058,76.22867,80.12270,,,,,,,
